,medical_abstracts,problems_described
5157,"['biliari', 'gut', 'function', 'follow', 'shock', 'aim', 'character', 'alter', 'gallbladd', 'intestin', 'function', 'hemorrhag', 'shock', 'blood', 'reperfus', 'opossum', 'anim', 'subject', 'shock', 'mm', 'hg', 'arteri', 'blood', 'pressur', 'minut', 'resuscit', 'blood', 'reinfus', 'gallbladd', 'epitheli', 'ion', 'transport', 'gallbladd', 'motil', 'vitro', 'vivo', 'gastrointestin', 'motil', 'flora', 'stomach', 'small', 'bowel', 'hour', 'shock', 'chang', 'hour', 'includ', 'decreas', 'gallbladd', 'contractil', 'vitro', 'decreas', 'empti', 'vivo', 'loss', 'coordin', 'intestin', 'motor', 'activ', 'decreas', 'frequenc', 'intestin', 'electr', 'slow', 'wave', 'reduc', 'durat', 'intestin', 'migrat', 'motor', 'complex', 'cycl', 'hour', 'gallbladd', 'epitheli', 'permeabl', 'increas', 'vitro', 'contractil', 'remain', 'reduc', 'vivo', 'function', 'show', 'partial', 'recoveri', 'gastrointestin', 'flora', 'affect', 'chang', 'data', 'demonstr', 'hemorrhag', 'shock', 'reperfus', 'affect', 'digest', 'motil', 'earli', 'time', 'alter', 'observ', 'partial', 'recoveri', 'hour', 'post', 'shock', 'suggest', 'ischemiahypoxia', 'mechan', 'injuri', 'biliary', 'gut', 'function', 'follow', 'shock', 'aim', 'characterize', 'alterations', 'gallbladder', 'intestinal', 'function', 'hemorrhagic', 'shock', 'blood', 'reperfusion', 'opossums', 'animals', 'subject', 'shock', 'mm', 'hg', 'arterial', 'blood', 'pressure', 'minutes', 'resuscitate', 'blood', 'reinfusion', 'gallbladder', 'epithelial', 'ion', 'transport', 'gallbladder', 'motility', 'vitro', 'vivo', 'gastrointestinal', 'motility', 'flora', 'stomach', 'small', 'bowel', 'hours', 'shock', 'change', 'hours', 'include', 'decrease', 'gallbladder', 'contractility', 'vitro', 'decrease', 'empty', 'vivo', 'loss', 'coordination', 'intestinal', 'motor', 'activity', 'decrease', 'frequency', 'intestinal', 'electrical', 'slow', 'wave', 'reduce', 'duration', 'intestinal', 'migrate', 'motor', 'complex', 'cycle', 'hours', 'gallbladder', 'epithelial', 'permeability', 'increase', 'vitro', 'contractility', 'remain', 'reduce', 'vivo', 'function', 'show', 'partial', 'recovery', 'gastrointestinal', 'flora', 'affect', 'change', 'data', 'demonstrate', 'hemorrhagic', 'shock', 'reperfusion', 'affect', 'digestive', 'motility', 'early', 'time', 'alterations', 'observe', 'partial', 'recovery', 'hours', 'post', 'shock', 'suggest', 'ischemiahypoxia', 'mechanism', 'injury']",5
4803,"['inpati', 'theophyllin', 'toxic', 'prevent', 'factor', 'object', 'identifi', 'prevent', 'factor', 'contribut', 'inpati', 'theophyllin', 'toxic', 'design', 'seri', 'set', 'tertiari', 'care', 'public', 'hospit', 'forti', 'consecut', 'adult', 'inpati', 'mean', 'theophyllin', 'level', 'greater', 'mumol', 'mgl', 'measur', 'main', 'result', 'retrospect', 'chart', 'audit', 'done', 'toxic', 'produc', 'inpati', 'emerg', 'depart', 'theophyllin', 'administr', 'manag', 'error', 'includ', 'delay', 'greater', 'hour', 'take', 'action', 'time', 'toxic', 'blood', 'level', 'drawn', 'inappropri', 'high', 'dose', 'congest', 'heart', 'failur', 'failur', 'recogn', 'obvious', 'symptom', 'recurr', 'toxic', 'addit', 'emerg', 'depart', 'alreadi', 'toxic', 'overlap', 'intraven', 'oral', 'therapi', 'discharg', 'physician', 'awar', 'toxic', 'dosag', 'chang', 'conclus', 'set', 'recur', 'manag', 'error', 'identifi', 'contribut', 'inpati', 'theophyllin', 'toxic', 'effect', 'prevent', 'mechan', 'could', 'prevent', 'toxic', 'morbid', 'theophyllin', 'overal', 'riskbenefit', 'ratio', 'inpati', 'set', 'less', 'measur', 'wellcontrol', 'studi', 'drug', 'efficaci', 'manag', 'error', 'inpatient', 'theophylline', 'toxicity', 'preventable', 'factor', 'objective', 'identify', 'preventable', 'factor', 'contribute', 'inpatient', 'theophylline', 'toxicity', 'design', 'series', 'set', 'tertiary', 'care', 'public', 'hospital', 'forty', 'consecutive', 'adult', 'inpatients', 'mean', 'theophylline', 'level', 'greater', 'mumoll', 'mgl', 'measurements', 'main', 'result', 'retrospective', 'chart', 'audit', 'do', 'toxicity', 'produce', 'inpatient', 'emergency', 'department', 'theophylline', 'administration', 'management', 'errors', 'include', 'delay', 'greater', 'hours', 'take', 'action', 'time', 'toxic', 'blood', 'level', 'draw', 'inappropriately', 'high', 'dose', 'congestive', 'heart', 'failure', 'failure', 'recognize', 'obvious', 'symptoms', 'recurrent', 'toxicity', 'additional', 'emergency', 'department', 'already', 'toxic', 'overlap', 'intravenous', 'oral', 'therapy', 'discharge', 'physician', 'awareness', 'toxicity', 'dosage', 'change', 'conclusions', 'set', 'recur', 'management', 'errors', 'identify', 'contribute', 'inpatient', 'theophylline', 'toxicity', 'effective', 'preventive', 'mechanisms', 'could', 'prevent', 'toxicity', 'morbidity', 'theophylline', 'overall', 'riskbenefit', 'ratio', 'inpatient', 'set', 'less', 'measure', 'wellcontrolled', 'study', 'drug', 'efficacy', 'management', 'errors']",5
9804,"['transor', 'approach', 'manag', 'intradur', 'lesion', 'craniovertebr', 'junction', 'review', 'main', 'difficulti', 'deal', 'intradur', 'lesion', 'locat', 'ventral', 'region', 'craniovertebr', 'junction', 'cvj', 'relat', 'relat', 'inaccess', 'posterolater', 'approach', 'involv', 'manipul', 'brain', 'stem', 'provid', 'limit', 'access', 'necess', 'work', 'cranial', 'nerv', 'even', 'view', 'ventral', 'midlin', 'across', 'limit', 'transor', 'approach', 'wide', 'use', 'manag', 'extradur', 'lesion', 'area', 'also', 'use', 'intradur', 'lesion', 'provid', 'unimped', 'somewhat', 'restrict', 'view', 'ventral', 'aspect', 'cvj', 'without', 'need', 'brain', 'retract', 'cranial', 'nerv', 'vertebr', 'arteri', 'interpos', 'surgeon', 'lesion', 'risk', 'cerebrospin', 'fluid', 'leakag', 'infect', 'great', 'diminish', 'fibrin', 'adhes', 'prolong', 'divers', 'cerebrospin', 'fluid', 'approach', 'togeth', 'technic', 'difficulti', 'result', 'manag', 'seven', 'pure', 'intradur', 'lesion', 'locat', 'ventral', 'cvj', 'discuss', 'transoral', 'approach', 'management', 'intradural', 'lesions', 'craniovertebral', 'junction', 'review', 'main', 'difficulty', 'deal', 'intradural', 'lesions', 'locate', 'ventrally', 'region', 'craniovertebral', 'junction', 'cvj', 'relate', 'relative', 'inaccessibility', 'posterolateral', 'approach', 'involve', 'manipulation', 'brain', 'stem', 'provide', 'limit', 'access', 'necessity', 'work', 'cranial', 'nerve', 'even', 'view', 'ventral', 'midline', 'across', 'limit', 'transoral', 'approach', 'widely', 'use', 'management', 'extradural', 'lesions', 'area', 'also', 'useful', 'intradural', 'lesions', 'provide', 'unimpeded', 'somewhat', 'restrict', 'view', 'ventral', 'aspect', 'cvj', 'without', 'need', 'brain', 'retraction', 'cranial', 'nerve', 'vertebral', 'arteries', 'interpose', 'surgeon', 'lesion', 'risk', 'cerebrospinal', 'fluid', 'leakage', 'infection', 'greatly', 'diminish', 'fibrin', 'adhesive', 'prolong', 'diversion', 'cerebrospinal', 'fluid', 'approach', 'together', 'technical', 'difficulties', 'result', 'management', 'seven', 'purely', 'intradural', 'lesions', 'locate', 'ventrally', 'cvj', 'discuss']",3
7183,"['control', 'trial', 'communiti', 'base', 'coronari', 'rehabilit', 'hundr', 'suffer', 'acut', 'myocardi', 'infarct', 'week', 'enter', 'randomis', 'control', 'trial', 'exercis', 'communiti', 'sport', 'centr', 'supervis', 'general', 'practition', 'eighti', 'per', 'cent', 'continu', 'exercis', 'return', 'work', 'complet', 'month', 'exercis', 'serious', 'complic', 'exercis', 'cours', 'preval', 'angina', 'pectori', 'fell', 'rose', 'control', 'perceiv', 'energi', 'level', 'rose', 'signific', 'control', 'rise', 'predict', 'maximum', 'oxygen', 'uptak', 'signific', 'greater', 'control', 'reduct', 'doubl', 'product', 'reflect', 'myocardi', 'workload', 'peak', 'exercis', 'coronari', 'rehabilit', 'communiti', 'safe', 'effect', 'control', 'trial', 'community', 'base', 'coronary', 'rehabilitation', 'hundred', 'suffer', 'acute', 'myocardial', 'infarction', 'weeks', 'enter', 'randomise', 'control', 'trial', 'exercise', 'community', 'sport', 'centre', 'supervise', 'general', 'practitioner', 'eighty', 'per', 'cent', 'continue', 'exercise', 'return', 'work', 'complete', 'months', 'exercise', 'serious', 'complications', 'exercise', 'course', 'prevalence', 'angina', 'pectoris', 'fell', 'rise', 'control', 'perceive', 'energy', 'level', 'rise', 'significantly', 'control', 'rise', 'predict', 'maximum', 'oxygen', 'uptake', 'significantly', 'greater', 'control', 'reduction', 'double', 'product', 'reflection', 'myocardial', 'workload', 'peak', 'exercise', 'coronary', 'rehabilitation', 'community', 'safe', 'effective']",4
9719,"['high', 'preval', 'antibodi', 'hepat', 'c', 'virus', 'hepatocellular', 'carcinoma', 'japan', 'japan', 'hepatocellular', 'carcinoma', 'hcc', 'preval', 'cancer', 'report', 'fatal', 'rate', 'show', 'consist', 'signific', 'increas', 'last', 'decad', 'hcc', 'posit', 'hepat', 'b', 'surfac', 'antigen', 'hbsag', 'investig', 'potenti', 'role', 'hepat', 'c', 'virus', 'hcv', 'develop', 'hcc', 'sera', 'hbsagneg', 'hcc', 'collect', 'five', 'district', 'japan', 'assay', 'antibodi', 'hcv', 'antigen', 'hcvab', 'larg', 'number', 'posit', 'hcvab', 'comparison', 'report', 'preval', 'sera', 'blood', 'donor', 'histori', 'blood', 'transfus', 'posit', 'hcvab', 'signific', 'differ', 'lower', 'rate', 'observ', 'hcc', 'posit', 'hbsag', 'negat', 'hcvab', 'less', 'high', 'prevalence', 'antibody', 'hepatitis', 'c', 'virus', 'hepatocellular', 'carcinoma', 'japan', 'japan', 'hepatocellular', 'carcinoma', 'hcc', 'prevalent', 'cancers', 'report', 'fatality', 'rate', 'show', 'consistent', 'significant', 'increase', 'last', 'decade', 'hcc', 'positive', 'hepatitis', 'b', 'surface', 'antigen', 'hbsag', 'investigate', 'potential', 'role', 'hepatitis', 'c', 'virus', 'hcv', 'development', 'hcc', 'sera', 'hbsagnegative', 'hcc', 'collect', 'five', 'district', 'japan', 'assay', 'antibody', 'hcv', 'antigen', 'hcvab', 'large', 'number', 'positive', 'hcvab', 'comparison', 'report', 'prevalence', 'sera', 'blood', 'donors', 'history', 'blood', 'transfusion', 'positive', 'hcvab', 'significantly', 'different', 'lower', 'rate', 'observe', 'hcc', 'positive', 'hbsag', 'negative', 'hcvab', 'less']",1
4250,"['recurr', 'tension', 'headach', 'adolesc', 'treat', 'selfhelp', 'relax', 'train', 'muscl', 'relax', 'drug', 'fortyeight', 'adolesc', 'suffer', 'recurr', 'tension', 'headach', 'particip', 'control', 'trial', 'conduct', 'high', 'school', 'set', 'phase', 'selfhelp', 'relax', 'train', 'waitinglist', 'follow', 'phase', 'pharmacolog', 'regimen', 'consist', 'muscl', 'relax', 'chlormezanon', 'placebo', 'superimpos', 'relax', 'therapi', 'doubleblind', 'crossov', 'design', 'phase', 'encompass', 'period', 'addit', 'evalu', 'headach', 'complaint', 'psycholog', 'distress', 'among', 'student', 'measur', 'respect', 'experi', 'somat', 'complaint', 'depress', 'anxieti', 'stress', 'symptom', 'selfhelp', 'relax', 'train', 'signific', 'decreas', 'sever', 'annoy', 'adolesc', 'headach', 'besid', 'somat', 'complaint', 'clinic', 'improv', 'headach', 'modest', 'addit', 'chlormezanon', 'help', 'nonrespond', 'selfhelp', 'relax', 'train', 'final', 'set', 'pretreat', 'variabl', 'consist', 'baselin', 'headach', 'sever', 'annoy', 'experi', 'anxieti', 'daili', 'life', 'stress', 'among', 'adolesc', 'could', 'predict', 'outcom', 'selfhelp', 'relax', 'therapi', 'recurrent', 'tension', 'headache', 'adolescents', 'treat', 'selfhelp', 'relaxation', 'train', 'muscle', 'relaxant', 'drug', 'fortyeight', 'adolescents', 'suffer', 'recurrent', 'tension', 'headache', 'participate', 'control', 'trial', 'conduct', 'high', 'school', 'set', 'phase', 'selfhelp', 'relaxation', 'train', 'waitinglist', 'follow', 'phase', 'pharmacological', 'regimen', 'consist', 'muscle', 'relaxant', 'chlormezanone', 'placebo', 'superimpose', 'relaxation', 'therapy', 'doubleblind', 'crossover', 'design', 'phase', 'encompass', 'period', 'addition', 'evaluation', 'headache', 'complaints', 'psychological', 'distress', 'among', 'students', 'measure', 'respect', 'experience', 'somatic', 'complaints', 'depressive', 'anxiety', 'stress', 'symptoms', 'selfhelp', 'relaxation', 'train', 'significantly', 'decrease', 'severity', 'annoyance', 'adolescents', 'headache', 'besides', 'somatic', 'complaints', 'clinical', 'improvement', 'headache', 'modest', 'addition', 'chlormezanone', 'help', 'nonresponders', 'selfhelp', 'relaxation', 'train', 'finally', 'set', 'pretreatment', 'variables', 'consist', 'baseline', 'headache', 'severity', 'annoyance', 'experience', 'anxiety', 'daily', 'life', 'stress', 'among', 'adolescents', 'could', 'predict', 'outcome', 'selfhelp', 'relaxation', 'therapy']",3
11333,"['adjuv', 'therapi', 'nodeneg', 'breast', 'cancer', 'prognost', 'factor', 'select', 'invas', 'breast', 'cancer', 'patholog', 'negat', 'lymph', 'node', 'favor', 'surviv', 'rate', 'particular', 'small', 'less', 'cm', 'primari', 'tumor', 'overal', 'howev', 'experi', 'recurr', 'local', 'therapi', 'adjuv', 'chemotherapi', 'tamoxifen', 'prolong', 'diseasefre', 'surviv', 'dfs', 'overal', 'surviv', 'os', 'unansw', 'question', 'optim', 'end', 'point', 'dfs', 'os', 'risk', 'treat', 'mani', 'benefit', 'prompt', 'clinician', 'prognost', 'indic', 'facilit', 'recommend', 'current', 'readili', 'avail', 'accur', 'inform', 'come', 'tnm', 'stage', 'patholog', 'featur', 'hormon', 'receptor', 'ploidi', 'sphase', 'fraction', 'her2neu', 'amplif', 'overexpress', 'cathepsind', 'use', 'prognost', 'indic', 'precis', 'system', 'weigh', 'sever', 'prognost', 'variabl', 'develop', 'decis', 'recommend', 'adjuv', 'system', 'therapi', 'general', 'good', 'prognosi', 'thought', 'consid', 'physician', 'whenev', 'possibl', 'encourag', 'enter', 'clinic', 'trial', 'adjuvant', 'therapy', 'nodenegative', 'breast', 'cancer', 'prognostic', 'factor', 'select', 'invasive', 'breast', 'cancer', 'pathologically', 'negative', 'lymph', 'nod', 'favorable', 'survival', 'rate', 'particularly', 'small', 'less', 'cm', 'primary', 'tumors', 'overall', 'however', 'experience', 'recurrence', 'local', 'therapy', 'adjuvant', 'chemotherapy', 'tamoxifen', 'prolong', 'diseasefree', 'survival', 'dfs', 'overall', 'survival', 'os', 'unanswered', 'question', 'optimal', 'end', 'point', 'dfs', 'os', 'risk', 'treat', 'many', 'benefit', 'prompt', 'clinicians', 'prognostic', 'indicators', 'facilitate', 'recommendations', 'currently', 'readily', 'available', 'accurate', 'information', 'come', 'tnm', 'stag', 'pathologic', 'feature', 'hormone', 'receptors', 'ploidy', 'sphase', 'fraction', 'her2neu', 'amplification', 'overexpression', 'cathepsind', 'useful', 'prognostic', 'indices', 'precise', 'system', 'weigh', 'several', 'prognostic', 'variables', 'develop', 'decision', 'recommend', 'adjuvant', 'systemic', 'therapy', 'generally', 'good', 'prognosis', 'thoughtfully', 'consider', 'physician', 'whenever', 'possible', 'encourage', 'enter', 'clinical', 'trials']",1
1993,"['bismuth', 'subsalicyl', 'acut', 'diarrhea', 'clinic', 'bismuth', 'subsalicyl', 'bss', 'placebo', 'evalu', 'doubleblind', 'placebocontrol', 'adjunct', 'rehydr', 'therapi', 'age', 'month', 'hospit', 'acut', 'diarrhea', 'dose', 'regimen', 'mgkg', 'five', 'time', 'daili', 'day', 'signific', 'benefit', 'note', 'bss', 'placebo', 'manifest', 'decreas', 'stool', 'frequenc', 'stool', 'weight', 'improv', 'stool', 'consist', 'signific', 'improv', 'clinic', 'wellb', 'shorten', 'durat', 'treat', 'bss', 'signific', 'reduct', 'durat', 'hospit', 'stay', 'day', 'placebotr', 'day', 'also', 'intraven', 'fluid', 'requir', 'decreas', 'signific', 'rapid', 'greater', 'degre', 'bsstreat', 'bismuth', 'subsalicyl', 'clearanc', 'pathogen', 'escherichia', 'coli', 'stool', 'differ', 'placebo', 'rotavirus', 'elimin', 'bismuth', 'subsalicyl', 'well', 'toler', 'report', 'advers', 'effect', 'blood', 'bismuth', 'serum', 'salicyl', 'level', 'well', 'level', 'consid', 'toxic', 'bss', 'provid', 'effect', 'adjunct', 'therapi', 'acut', 'diarrhea', 'allow', 'get', 'well', 'sooner', 'less', 'demand', 'nurs', 'hospit', 'staff', 'bismuth', 'subsalicylate', 'acute', 'diarrhea', 'clinical', 'bismuth', 'subsalicylate', 'bss', 'placebo', 'evaluate', 'doubleblind', 'placebocontrolled', 'adjunct', 'rehydration', 'therapy', 'age', 'months', 'hospitalize', 'acute', 'diarrhea', 'dose', 'regimen', 'mgkg', 'five', 'time', 'daily', 'days', 'significant', 'benefit', 'note', 'bss', 'placebo', 'manifest', 'decrease', 'stool', 'frequency', 'stool', 'weight', 'improvement', 'stool', 'consistency', 'significant', 'improvement', 'clinical', 'wellbeing', 'shorten', 'duration', 'treat', 'bss', 'significant', 'reduction', 'duration', 'hospital', 'stay', 'days', 'placebotreated', 'days', 'also', 'intravenous', 'fluid', 'requirements', 'decrease', 'significantly', 'rapidly', 'greater', 'degree', 'bsstreated', 'bismuth', 'subsalicylate', 'clearance', 'pathogenic', 'escherichia', 'coli', 'stool', 'different', 'placebo', 'rotavirus', 'elimination', 'bismuth', 'subsalicylate', 'well', 'tolerate', 'report', 'adverse', 'effect', 'blood', 'bismuth', 'serum', 'salicylate', 'level', 'well', 'level', 'consider', 'toxic', 'bss', 'provide', 'effective', 'adjunctive', 'therapy', 'acute', 'diarrhea', 'allow', 'get', 'well', 'sooner', 'less', 'demand', 'nurse', 'hospital', 'staff']",2
11952,"['calcium', 'channel', 'blocker', 'geriatr', 'hypertens', 'though', 'calcium', 'channel', 'blocker', 'use', 'treat', 'angina', 'pectori', 'almost', 'decad', 'longact', 'form', 'agent', 'becom', 'avail', 'last', 'made', 'practic', 'antihypertens', 'agent', 'well', 'becom', 'increas', 'popular', 'role', 'especi', 'treat', 'elder', 'hypertens', 'vasodil', 'mild', 'diuret', 'action', 'logic', 'choic', 'major', 'hypertens', 'increas', 'peripher', 'vascular', 'resist', 'offer', 'advantag', 'dual', 'benefit', 'hypertens', 'angina', 'carbohydr', 'lipid', 'metabol', 'disadvantag', 'includ', 'cost', 'side', 'profil', 'includ', 'headach', 'palpit', 'ankl', 'edema', 'constip', 'calcium', 'channel', 'blockers', 'geriatric', 'hypertension', 'though', 'calcium', 'channel', 'blockers', 'use', 'treat', 'angina', 'pectoris', 'almost', 'decade', 'longacting', 'form', 'agents', 'become', 'available', 'last', 'make', 'practical', 'antihypertensive', 'agents', 'well', 'become', 'increasingly', 'popular', 'role', 'especially', 'treat', 'elderly', 'hypertensive', 'vasodilators', 'mild', 'diuretic', 'action', 'logical', 'choices', 'majority', 'hypertensive', 'increase', 'peripheral', 'vascular', 'resistance', 'offer', 'advantage', 'dual', 'benefit', 'hypertensive', 'angina', 'carbohydrate', 'lipid', 'metabolism', 'disadvantage', 'include', 'cost', 'side', 'profile', 'include', 'headaches', 'palpitations', 'ankle', 'edema', 'constipation']",4
3463,"['character', 'ly233569', 'reperfus', 'injuri', 'ischem', 'myocardium', 'ly233569', 'produc', 'concentrationdepend', 'inhibit', 'isol', 'guinea', 'pig', 'activ', 'polymorphonuclear', 'leukocyt', 'vitro', 'ic50', 'valu', 'microm', 'respect', 'ly233569', 'also', 'inhibit', 'ic50', 'approxim', 'microm', 'zymosanstimul', 'product', 'leukotrien', 'canin', 'whole', 'blood', 'littl', 'concomit', 'product', 'thromboxan', 'b2', 'concentr', 'ly233569', 'high', 'microm', 'inhibit', 'product', 'scaveng', 'superoxid', 'activ', 'neutrophil', 'anesthet', 'dog', 'infus', 'ly233569', 'mgkgmin', 'iv', 'hr', 'produc', 'persist', 'inhibit', 'approxim', 'leukotrien', 'product', 'blood', 'challeng', 'ex', 'vivo', 'zymosan', 'plasma', 'concentr', 'approxim', 'microm', 'ly233569', 'consist', 'vitro', 'data', 'illustr', 'select', 'maxim', 'inhibit', 'subsequ', 'experi', 'myocardi', 'infarct', 'size', 'measur', 'hr', 'occlus', 'circumflex', 'coronari', 'arteri', 'hr', 'reperfus', 'continu', 'infus', 'ly233569', 'mgkgmin', 'iv', 'littl', 'baselin', 'systol', 'arteri', 'pressur', 'cardiac', 'rate', 'pressur', 'rate', 'product', 'timerel', 'chang', 'observ', 'control', 'dog', 'ly233569', 'infus', 'also', 'alter', 'degre', 'stsegment', 'deviat', 'intens', 'durat', 'cardiac', 'arrhythmia', 'coronari', 'arteri', 'occlus', 'reperfus', 'result', 'myocardi', 'infarct', 'size', 'left', 'ventricl', 'place', 'risk', 'control', 'dog', 'dog', 'given', 'ly233569', 'myeloperoxidas', 'activ', 'infarct', 'myocardium', 'differ', 'group', 'characterization', 'ly233569', 'reperfusion', 'injury', 'ischemic', 'myocardium', 'ly233569', 'produce', 'concentrationdependent', 'inhibition', 'isolate', 'guinea', 'pig', 'activity', 'polymorphonuclear', 'leukocytes', 'vitro', 'ic50', 'value', 'microm', 'respectively', 'ly233569', 'also', 'inhibit', 'ic50', 'approximately', 'microm', 'zymosanstimulated', 'production', 'leukotriene', 'canine', 'whole', 'blood', 'little', 'concomitant', 'production', 'thromboxane', 'b2', 'concentrations', 'ly233569', 'high', 'microm', 'inhibit', 'production', 'scavenge', 'superoxide', 'activate', 'neutrophils', 'anesthetize', 'dog', 'infusion', 'ly233569', 'mgkgmin', 'iv', 'hr', 'produce', 'persistent', 'inhibition', 'approximately', 'leukotriene', 'production', 'blood', 'challenge', 'ex', 'vivo', 'zymosan', 'plasma', 'concentration', 'approximately', 'microm', 'ly233569', 'consistent', 'vitro', 'data', 'illustrate', 'selective', 'maximal', 'inhibition', 'subsequent', 'experiment', 'myocardial', 'infarct', 'size', 'measure', 'hr', 'occlusion', 'circumflex', 'coronary', 'artery', 'hr', 'reperfusion', 'continuous', 'infusion', 'ly233569', 'mgkgmin', 'iv', 'little', 'baseline', 'systolic', 'arterial', 'pressure', 'cardiac', 'rate', 'pressure', 'rate', 'product', 'timerelated', 'change', 'observe', 'control', 'dog', 'ly233569', 'infusion', 'also', 'alter', 'degree', 'stsegment', 'deviation', 'intensity', 'duration', 'cardiac', 'arrhythmias', 'coronary', 'artery', 'occlusion', 'reperfusion', 'resultant', 'myocardial', 'infarct', 'size', 'leave', 'ventricle', 'place', 'risk', 'control', 'dog', 'dog', 'give', 'ly233569', 'myeloperoxidase', 'activity', 'infarcted', 'myocardium', 'differ', 'group']",4
